"target","model","typ_modelu","efekty_losowe","liczba_predyktorow_stalych","AIC","BIC","logLik","singular","prog_decyzyjny","AUC_train","Brier_train","LogLoss_train","Accuracy_train","Sensitivity_train","Specificity_train","Precision_train","F1_train","AUC_test","Brier_test","LogLoss_test","Accuracy_test","Sensitivity_test","Specificity_test","Precision_test","F1_test","TP_test","TN_test","FP_test","FN_test"
"wind_speed_10m_next_event","Model zerowy","bazowy","brak",0,"nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",0.05,NA,0.123429657409784,0.412573353047026,0.144232740980545,1,0,0.144232740980545,0.25210385232806,0.5,0.0540221166665074,0.238885365826278,0.0466864674215704,1,0,0.0466864674215704,0.0892081227276758,503,0,10271,0
"wind_gusts_10m_next_event","GLMM RSI miesiac","RSI","(1 + wind_gusts_10m_z | miesiac)",19,"28740.6204571743","28978.4944128929","-14347.3102285871","tak",0.18,NA,0.0178384997837165,0.062542729883854,0.962704898363431,0.968941109852775,0.961568813538341,0.821207467485722,0.888978361950282,0.992528044871795,0.018117498806347,0.0665614178564635,0.975032485613514,0.912109375,0.981641025641026,0.839173405211141,0.874122601778194,934,9571,179,90
"wind_gusts_10m_next_event","GLMM RIFS sezon","RIFS","(1 | sezon)",19,"28754.7657846376","28971.9550485547","-14356.3828923188","tak",0.19,NA,0.0178467177737365,0.062637196900156,0.963555687415739,0.967751981879955,0.962791225455052,0.825727744896727,0.891116470051489,0.992387720352564,0.018100565823581,0.0669557046002651,0.975310933729348,0.91015625,0.982153846153846,0.842676311030741,0.875117370892019,932,9576,174,92
"wind_gusts_10m_next_event","GLM full","GLM","brak",19,"28752.7657846377","28959.6127026539","-14356.3828923189","nie dotyczy",0.19,NA,0.0178467177364492,0.062637196900156,0.963555687415739,0.967751981879955,0.962791225455052,0.825727744896727,0.891116470051489,0.992387720352564,0.0181005658491865,0.0669557052941058,0.975310933729348,0.91015625,0.982153846153846,0.842676311030741,0.875117370892019,932,9576,174,92
"wind_gusts_10m_next_event","GLMM RIFS miesiac","RIFS","(1 | miesiac)",19,"28754.7657846378","28971.9550485548","-14356.3828923189","tak",0.19,NA,0.0178467177364422,0.0626371969001375,0.963555687415739,0.967751981879955,0.962791225455052,0.825727744896727,0.891116470051489,0.992387720352564,0.0181005658491962,0.066955705294124,0.975310933729348,0.91015625,0.982153846153846,0.842676311030741,0.875117370892019,932,9576,174,92
"wind_gusts_10m_next_event","GLMM RSI-i miesiac","RSI-i","(1 + wind_gusts_10m_z || miesiac)",19,"28756.758466287","28984.2900761049","-14356.3792331435","tak",0.19,NA,0.0178455497355858,0.0626334663471356,0.963555687415739,0.967723669309173,0.962796383311241,0.825743483197642,0.891113631327155,0.992386017628205,0.0181047631021188,0.0669665852971204,0.97540374976796,0.91015625,0.98225641025641,0.843438914027149,0.875528417097229,932,9577,173,92
"wind_gusts_10m_next_event","GLMM FIRS miesiac","FIRS","(0 + wind_gusts_10m_z | miesiac)",19,"28754.7584526106","28971.9477165276","-14356.3792263053","nie",0.19,NA,0.0178455487296675,0.0626334631007585,0.963555687415739,0.967723669309173,0.962796383311241,0.825743483197642,0.891113631327155,0.992386017628205,0.0181047669174017,0.0669665952433049,0.97540374976796,0.91015625,0.98225641025641,0.843438914027149,0.875528417097229,932,9577,173,92
"wind_gusts_10m_next_event","GLMM RIFS miesiac plus dzien_roku","RIFS","(1 | miesiac) + (1 | dzien_roku)",19,"28715.5991843779","28943.1307941957","-14335.7995921889","tak",0.19,NA,0.0176121928661935,0.0619339891871126,0.963935270223692,0.968374858437146,0.963126486107314,0.827118398142774,0.89219010851419,0.99233203125,0.0181304238027996,0.0671692967077397,0.975310933729348,0.9091796875,0.98225641025641,0.843297101449275,0.875,931,9577,173,93
"wind_gusts_10m_next_event","GLMM RIFS dzien_roku","RIFS","(1 | dzien_roku)",19,"28713.5987545588","28930.7880184758","-14335.7993772794","nie",0.19,NA,0.0176121927568669,0.0619339888582233,0.963935270223692,0.968374858437146,0.963126486107314,0.827118398142774,0.89219010851419,0.99233203125,0.018130423837266,0.0671692969365604,0.975310933729348,0.9091796875,0.98225641025641,0.843297101449275,0.875,931,9577,173,93
"wind_gusts_10m_next_event","GLMM RI dzien_roku bez predyktorow","RI","(1 | dzien_roku)",0,"186118.248417202","186138.933109003","-93057.1242086009","nie",0.15,NA,0.123395135992946,0.402335867652523,0.579967626385804,0.710164212910532,0.556249000665363,0.22573503604309,0.342577354084009,0.568092598157051,0.0948049901231999,0.341172202369715,0.465658065713755,0.6181640625,0.449641025641026,0.105517586264377,0.180264844083725,633,4384,5366,391
"wind_gusts_10m_next_event","GLMM RI miesiac bez predyktorow","RI","(1 | miesiac)",0,"189498.858736126","189519.543427927","-94747.4293680629","nie",0.12,NA,0.126060579875413,0.413190956089098,0.558492838101388,0.695554926387316,0.533523486298155,0.213613084420948,0.326847472509928,0.563755358573718,0.0935096930096801,0.339312266552866,0.434935956933358,0.6435546875,0.413025641025641,0.103259166405516,0.177963813124494,659,4027,5723,365
"wind_gusts_10m_next_event","Model zerowy","bazowy","brak",0,"nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",0.05,NA,0.130354500256842,0.429758743355115,0.154101893987321,1,0,0.154101893987321,0.267050760058824,0.5,0.089498212471334,0.329195213548949,0.0950436235381474,1,0,0.0950436235381474,0.173588743854891,1024,0,9750,0
