"target","model","liczba_predyktorow","lambda","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_speed_10m_next","Best subset BIC",18,"nie dotyczy",3.18642979583164,1.7850573648574,1.27702436212865,0.957860908214686,3.86782556063331,1.96667881481276,1.40067242199356,0.924935907834935,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina"
"wind_speed_10m_next","Best subset Cp",18,"nie dotyczy",3.18642979583164,1.7850573648574,1.27702436212865,0.957860908214686,3.86782556063331,1.96667881481276,1.40067242199356,0.924935907834935,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina"
"wind_speed_10m_next","OLS full",19,"nie dotyczy",3.18640666833226,1.78505088676269,1.27701129585991,0.957861214065397,3.86802042899468,1.96672835668648,1.40076525209379,0.924932125964111,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Best subset Adjusted R2",19,"nie dotyczy",3.18640666833226,1.78505088676269,1.27701129585991,0.957861214065397,3.86802042899468,1.96672835668648,1.40076525209379,0.924932125964111,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Validation set min",19,"nie dotyczy",3.18640666833226,1.78505088676269,1.27701129585991,0.957861214065397,3.86802042899468,1.96672835668648,1.40076525209379,0.924932125964111,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Cross-validation min",19,"nie dotyczy",3.18640666833226,1.78505088676269,1.27701129585991,0.957861214065397,3.86802042899468,1.96672835668648,1.40076525209379,0.924932125964111,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Lasso lambda.min",15,"0.0049797656",3.19271452420931,1.78681686924243,1.27991312850083,0.95777779552653,3.87229114171688,1.96781379752173,1.40196719700726,0.924849242915648,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, sin_godzina, cos_godzina"
"wind_speed_10m_next","Best subset k=10",10,"nie dotyczy",3.19651795701641,1.78788085649363,1.27958749455597,0.957727496849192,3.87688065319384,1.96897959694707,1.4024899528017,0.924760172840719,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, temperature_2m, apparent_temperature, precipitation, cloud_cover, shortwave_radiation, sin_godzina"
"wind_speed_10m_next","Validation set 1pct",6,"nie dotyczy",3.2165781122969,1.7934821193134,1.2847613372623,0.957462210375378,3.87992892253039,1.96975351821754,1.40207635282299,0.924701014130783,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, cloud_cover, shortwave_radiation, sin_godzina"
"wind_speed_10m_next","Best subset k=8",8,"nie dotyczy",3.20453783358272,1.79012229570572,1.28165010418609,0.957621437611617,3.8808602146414,1.96998990216737,1.40136171495868,0.924682940255486,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, precipitation, cloud_cover, shortwave_radiation, sin_godzina"
"wind_speed_10m_next","Cross-validation 1SE",8,"nie dotyczy",3.20453783358272,1.79012229570572,1.28165010418609,0.957621437611617,3.8808602146414,1.96998990216737,1.40136171495868,0.924682940255486,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, precipitation, cloud_cover, shortwave_radiation, sin_godzina"
"wind_speed_10m_next","Best subset k=5",5,"nie dotyczy",3.22640098052424,1.79621852248668,1.28732884593629,0.957332307389168,3.88943402663167,1.97216480716792,1.40544298421569,0.924516545622803,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, sin_godzina, cos_godzina"
"wind_speed_10m_next","Lasso lambda.1se",14,"0.012625521",3.20703204952215,1.79081882096491,1.28474221346954,0.957588452734767,3.89071134528113,1.97248861727543,1.40751365306089,0.924491756302984,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_godzina, cos_godzina"
"wind_speed_10m_next","Best subset k=3",3,"nie dotyczy",3.24602248867248,1.80167213684191,1.29301429937489,0.957072821825135,3.90444501197039,1.97596685497768,1.40721116138715,0.924225222767289,"wind_speed_10m, wind_gusts_10m, sin_godzina"
"wind_speed_10m_next","Ridge lambda.min",19,"0.85022159",3.90241636314396,1.97545345760004,1.46358282264521,0.948392309936922,5.21705285929152,2.28408687647636,1.73152765043867,0.898751034522934,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Ridge lambda.1se",19,"0.85022159",3.90241636314396,1.97545345760004,1.46358282264521,0.948392309936922,5.21705285929152,2.28408687647636,1.73152765043867,0.898751034522934,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Model zerowy",0,"nie dotyczy",75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811,"brak"
